# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,YBXUZANQVN,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
2.765207145438660863e+00, 1.321833337402129160e+00, 1.650400000000000200e-01, 1.800000000000000044e+00, 4.000000000000000000e+00
3.222669999999999479e+00, 1.425000000000000044e+00, 1.900000000000000300e-01, 2.000000000000000000e+00, 0.000000000000000000e+00
3.222669999999999924e+00, 1.312942346705144869e+00, -4.889605684220587056e-01, 2.000000000000000000e+00, 2.500000000000000000e-01
3.222669999999999479e+00, 1.007429591213719666e+00, -1.043659394152941511e+00, 2.000000000000000000e+00, 5.000000000000000000e-01
3.222669999999999924e+00, 5.544520401154345857e-01, -1.417778522807353170e+00, 2.000000000000000000e+00, 7.500000000000000000e-01
3.222669999999999479e+00, 0.000000000000000000e+00, -1.555000000000000382e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
3.222669999999999924e+00, -5.544520401154346967e-01, -1.417778522807353170e+00, 2.000000000000000000e+00, 1.250000000000000000e+00
3.222669999999999479e+00, -1.007429591213719666e+00, -1.043659394152941511e+00, 2.000000000000000000e+00, 1.500000000000000000e+00
3.222669999999999924e+00, -1.312942346705144869e+00, -4.889605684220587056e-01, 2.000000000000000000e+00, 1.750000000000000000e+00
3.222670000000000368e+00, -1.425000000000000044e+00, 1.900000000000000300e-01, 2.000000000000000000e+00, 2.000000000000000000e+00
3.222669999999999924e+00, -1.312942346705144647e+00, 8.689605684220587101e-01, 2.000000000000000000e+00, 2.250000000000000000e+00
3.222670000000000368e+00, -1.007429591213719888e+00, 1.423659394152941182e+00, 2.000000000000000000e+00, 2.500000000000000000e+00
3.222670000000000368e+00, -5.544520401154346967e-01, 1.797778522807353063e+00, 2.000000000000000000e+00, 2.750000000000000000e+00
3.222670000000000368e+00, 0.000000000000000000e+00, 1.935000000000000275e+00, 2.000000000000000000e+00, 3.000000000000000000e+00
3.222670000000000368e+00, 5.544520401154345857e-01, 1.797778522807353063e+00, 2.000000000000000000e+00, 3.250000000000000000e+00
3.222670000000000368e+00, 1.007429591213719666e+00, 1.423659394152940960e+00, 2.000000000000000000e+00, 3.500000000000000000e+00
